Field research projects,Field Sites,lowest elevation (M),highest elevation (M),start point lat,start point long,end point lat,end point long,location notes,Project start date,Earliest date needed for climate data,"Desired climate measurement frequency (daily, weekly, monthly or annual mean)",Closest weather station by distance,Distance from closest weather station (km),closest station by elevation,2nd closest weather station,3rd closest weather station,NEW RAIN GAUGE,Distance of new gauge,
Wildlife connectivity in gooseneck,N03B,798,,33.76785,-111.79405,,,,2017,Jan-17,monthly,Fraesfield,,Reata Pass Dam,Reata Pass Dam,Rawhide Wash,,,
Wildlife connectivity in gooseneck,N03B1,814,,33.77812,-111.7941,,,,2017,Jan-17,monthly,Fraesfield,,Fraesfield,Reata Pass Dam,Rawhide Wash,,,
Wildlife connectivity in gooseneck,N04B,822,,33.78799,-111.7945,,,,2017,Jan-17,monthly,Fraesfield,,Fraesfield,Reata Pass Dam,Rawhide Wash,,,
Wildlife connectivity in gooseneck,N05B,833,,33.7995,-111.79578,,,,2017,Jan-17,monthly,Fraesfield,4.4,Fraesfield,Reata Pass Dam,Rawhide Wash,Old Paint Wash,1.3,
Wildlife connectivity in gooseneck,N06B,851,,33.81327,-111.79523,,,,2017,Jan-17,monthly,Fraesfield,,Fraesfield,Stagecoach,Reata Pass Dam,,,
Wildlife connectivity in gooseneck,N01A,781,,33.74158,-111.80267,,,,2017,Jan-17,monthly,Fraesfield,,Reata Pass Dam,Reata Pass Dam,Pima Jomax,,,
Wildlife connectivity in gooseneck,N02A,800,,33.75716,-111.8028,,,,2017,Jan-17,monthly,Fraesfield,,Fraesfield,Reata Pass Dam,Rawhide Wash,,,
Wildlife connectivity in gooseneck,N03A,823,,33.76933,-111.80212,,,,2017,Jan-17,monthly,Fraesfield,,Fraesfield,Reata Pass,Rawhide Wash,,,
Wildlife connectivity in gooseneck,N03A1,875,,33.77963,-111.80169,,,,2017,Jan-17,monthly,Fraesfield,2.2,Fraesfield,Reata Pass,Rawhide Wash,Old Paint Wash,3.0,
Wildlife connectivity in gooseneck,N04A,851,,33.79005,-111.8033,,,,2017,Jan-17,monthly,Fraesfield,,Fraesfield,Reata Pass,Rawhide Wash,,,
Wildlife connectivity in gooseneck,N05A,865,,33.79982,-111.80418,,,,2017,Jan-17,monthly,Fraesfield,,Fraesfield,Reata Pass,Stagecoach,,,
Wildlife connectivity in gooseneck,N06A,876,,33.81282,-111.80406,,,,2017,Jan-17,monthly,Fraesfield,,Fraesfield,Stagecoach,Reata Pass,,,
Wildlife connectivity in gooseneck,S01B,790,,33.74075,-111.80764,,,,2017,Jan-17,monthly,Fraesfield,,Fraesfield,Reata Pass Dam,Pima Jomax,,,
Wildlife connectivity in gooseneck,S02B,797,,33.73351,-111.80827,,,,2017,Jan-17,monthly,Reata Pass Dam,3.3,Reata Pass Dam,Fraesfield,Pima Jomax,Ranch Gate Rd,2.5,
Wildlife connectivity in gooseneck,S03B,815,,33.71925,-111.81409,,,,2017,Jan-17,monthly,Reata Pass Dam,,Reata Pass Dam,Fraesfield,Hesperus Wash,,,
Wildlife connectivity in gooseneck,S04A,765,,33.7124,-111.78973,,,,2017,Jan-17,monthly,Reata Pass Dam,,Reata Pass Dam,Hesperus Wash,Fraesfield,,,
Wildlife connectivity in gooseneck,S05A,794,,33.6997,-111.79261,,,,2017,Jan-17,monthly,Hesperus Wash,,Reata Pass Dam,Reata Pass Dam,Thompson Peak,,,
Wildlife connectivity in gooseneck,S06B,798,,33.68869,-111.79127,,,,2017,Jan-17,monthly,Hesperus Wash,3.8,Reata Pass Dam,McDowell Mtn Park,Thompson Peak,,,
2C restoration,2C area,874,884,33.79641,-111.82827,33.80698,-111.81548,"start is transect 1, end is transect 7",Fall 2015,May-16,monthly,Fraesfield,4.8,Fraesfield,Stagecoach,Reata Pass Dam,Old Paint Wash,0.8,
Buffelgrass removal experiment,Brown's mountain and wash,824,918,33.77251,-111.85016,33.77390,-111.84570,,Mar-18,Jan-17,monthly,Fraesfield,3.1,Fraesfield,Stagecoach,Reata Pass Dam,Pinnacle Peak Powerline,3.0,
Fountain grass removal experiment,Quartz Wash,769,798,33.63120,-111.80801,33.63319,-111.80692,,Mar-18,Jan-17,monthly,Thompson Peak,1.4,Thompson Peak,Cloudburst,Hesperus Wash,,,Starting pt 2 chosen - Taliesin Trail with parking in neighbourhood or 104th St
Past restoration,Tom's Thumb trailhead area,848,859,33.69426,-111.80045,33.69713,-111.80480,,2018,2010,annual,Hesperus Wash,5.1,Hesperus Wash,Thompson Peak,Reata Pass Dam,Ranch Gate Rd,3.0,
Past restoration,128th st/Gooseneck,797,801,33.71679,-111.80455,33.72287,-111.80465,,2018,2010,annual,Reata Pass Dam,3.8,Reata Pass Dam,Fraesfield,McDowell Mtn Park,Ranch Gate Rd,2.2,
Past restoration,Black Hills area,796,802,33.75266,-111.80397,33.75484,-111.80401,,2018,2010,annual,Fraesfield,1.4,Fraesfield,Reata Pass Dam,Pima Jomax,Ranch Gate Rd,4.7,
Past restoration,TT Caballo,814,821,33.69604,-111.79610,33.69788,-111.79610,,2018,2010,annual,Hesperus Wash,4.9,McDowell Mtn Park,Hesperus Wash,Thompson Peak,Ranch Gate Rd,3.6,
